symbol,date,pattern,signal_time,entry_time,entry,sl,tp,rr,exit_reason,pnl_r,exit_time
NAS100,2026-04-09,D_FIRST_PULLBACK,2026-04-09 08:30:00+00:00,2026-04-09 08:45:00+00:00,24830.21,24784.21,24922.21,2.0,TP_HIT,2.0,2026-04-09 13:30:00+00:00
NAS100,2026-04-09,D_FIRST_PULLBACK,2026-04-09 14:45:00+00:00,2026-04-09 15:00:00+00:00,24872.83,24792.08,25034.33,2.0,TP_HIT,2.0,2026-04-09 16:00:00+00:00
NAS100,2026-04-09,D_FIRST_PULLBACK,2026-04-09 17:00:00+00:00,2026-04-09 17:15:00+00:00,25058.96,24993.08,25190.72,2.0,SL_HIT,-1.0,2026-04-09 18:00:00+00:00
NAS100,2026-04-09,D_FIRST_PULLBACK,2026-04-09 22:00:00+00:00,2026-04-09 22:15:00+00:00,25086.02,25060.02,25138.02,2.0,SL_HIT,-1.0,2026-04-09 22:30:00+00:00
NAS100,2026-04-10,D_FIRST_PULLBACK,2026-04-10 01:30:00+00:00,2026-04-10 01:45:00+00:00,25126.39,25089.77,25199.63,2.0,SL_HIT,-1.0,2026-04-10 02:15:00+00:00
NAS100,2026-04-10,D_FIRST_PULLBACK,2026-04-10 08:30:00+00:00,2026-04-10 08:45:00+00:00,25066.57,25037.82,25124.07,2.0,TP_HIT,2.0,2026-04-10 11:00:00+00:00
NAS100,2026-04-10,D_FIRST_PULLBACK,2026-04-10 13:30:00+00:00,2026-04-10 13:45:00+00:00,25158.07,25126.32,25221.57,2.0,SL_HIT,-1.0,2026-04-10 14:00:00+00:00
NAS100,2026-04-10,D_FIRST_PULLBACK,2026-04-10 14:15:00+00:00,2026-04-10 14:30:00+00:00,25175.19,25103.07,25319.43,2.0,SL_HIT,-1.0,2026-04-10 15:45:00+00:00
NAS100,2026-04-10,D_FIRST_PULLBACK,2026-04-10 17:30:00+00:00,2026-04-10 17:45:00+00:00,25087.57,25057.44,25147.83,2.0,TP_HIT,2.0,2026-04-10 20:30:00+00:00
NAS100,2026-04-13,D_FIRST_PULLBACK,2026-04-13 00:45:00+00:00,2026-04-13 01:00:00+00:00,24898.68,24831.18,25033.68,2.0,TP_HIT,2.0,2026-04-13 11:00:00+00:00
NAS100,2026-04-13,D_FIRST_PULLBACK,2026-04-13 12:15:00+00:00,2026-04-13 12:30:00+00:00,24968.23,24916.73,25071.23,2.0,TP_HIT,2.0,2026-04-13 13:30:00+00:00
NAS100,2026-04-13,D_FIRST_PULLBACK,2026-04-13 14:30:00+00:00,2026-04-13 14:45:00+00:00,25159.98,25091.11,25297.72,2.0,TP_HIT,2.0,2026-04-13 19:15:00+00:00
NAS100,2026-04-14,D_FIRST_PULLBACK,2026-04-14 06:30:00+00:00,2026-04-14 06:45:00+00:00,25432.36,25410.36,25476.36,2.0,TP_HIT,2.0,2026-04-14 07:00:00+00:00
NAS100,2026-04-14,D_FIRST_PULLBACK,2026-04-14 08:00:00+00:00,2026-04-14 08:15:00+00:00,25478.86,25452.74,25531.1,2.0,TP_HIT,2.0,2026-04-14 11:45:00+00:00
NAS100,2026-04-14,D_FIRST_PULLBACK,2026-04-14 13:30:00+00:00,2026-04-14 13:45:00+00:00,25593.86,25497.74,25786.1,2.0,TP_HIT,2.0,2026-04-14 17:15:00+00:00
NAS100,2026-04-14,D_FIRST_PULLBACK,2026-04-14 19:00:00+00:00,2026-04-14 19:15:00+00:00,25805.36,25748.11,25919.86,2.0,EOD,0.0,2026-04-14 23:45:00+00:00
NAS100,2026-04-15,D_FIRST_PULLBACK,2026-04-15 06:30:00+00:00,2026-04-15 06:45:00+00:00,25845.62,25816.87,25903.12,2.0,SL_HIT,-1.0,2026-04-15 10:15:00+00:00
NAS100,2026-04-15,D_FIRST_PULLBACK,2026-04-15 10:45:00+00:00,2026-04-15 11:00:00+00:00,25833.62,25784.49,25931.88,2.0,TP_HIT,2.0,2026-04-15 14:00:00+00:00
NAS100,2026-04-15,D_FIRST_PULLBACK,2026-04-15 17:00:00+00:00,2026-04-15 17:15:00+00:00,26019.62,25952.24,26154.38,2.0,TP_HIT,2.0,2026-04-15 18:45:00+00:00
NAS100,2026-04-15,D_FIRST_PULLBACK,2026-04-15 22:00:00+00:00,2026-04-15 22:15:00+00:00,26218.46,26191.94,26271.5,2.0,EOD,0.0,2026-04-15 23:45:00+00:00
NAS100,2026-04-16,D_FIRST_PULLBACK,2026-04-16 05:15:00+00:00,2026-04-16 05:30:00+00:00,26294.21,26268.33,26345.97,2.0,SL_HIT,-1.0,2026-04-16 08:30:00+00:00
NAS100,2026-04-16,D_FIRST_PULLBACK,2026-04-16 08:45:00+00:00,2026-04-16 09:00:00+00:00,26291.88,26263.63,26348.38,2.0,SL_HIT,-1.0,2026-04-16 10:30:00+00:00
NAS100,2026-04-16,D_FIRST_PULLBACK,2026-04-16 11:00:00+00:00,2026-04-16 11:15:00+00:00,26262.63,26216.38,26355.13,2.0,SL_HIT,-1.0,2026-04-16 13:30:00+00:00
